E2E Latency,Loop Exec Time,Loop Period (us),Avg E2E,Avg Exec Time,Avg Loop Period
4705,5045,1000000,,,
4544,5185,1000000,,,
4536,4695,1000000,,,
5182,5360,1000000,,,
4557,4719,1000000,,,
4523,4682,1000000,,,
4463,4626,1000000,,,
4148,4303,1000000,,,
4547,5070,1000000,,,
4582,4846,1000000,,,
4160,4311,1000000,,,
4512,4687,1000000,,,
4672,4843,1000000,,,
4641,4799,1000000,,,
4536,4691,1000000,,,
4479,4634,1000000,,,
4584,4747,1000000,,,
4651,5171,1000000,,,
4439,4745,1000000,,,
4515,4670,1000000,,,
4827,5074,1000000,,,
4542,4701,1000000,,,
4461,4616,1000000,,,
4447,4602,1000000,,,
3996,4143,1000000,,,
4756,4923,1000000,,,
4625,4788,1000000,,,
4557,4885,1000000,,,
4548,4707,1000000,,,
4446,4688,1000000,,,
4593,4748,1000051,,,
4653,4808,999949,,,
4511,4670,1000000,,,
4442,4827,1000000,,,
4499,4809,1000000,,,
4533,4815,1000000,,,
4508,4667,1000000,,,
4561,4859,1000000,,,
4623,4778,1000000,,,
4512,4667,1000000,,,
4581,4739,1000000,,,
4048,4203,1000000,,,
4539,4698,1000000,,,
4412,4735,1000000,,,
4622,4793,1000000,,,
4620,4775,1000000,,,
4476,4639,1000000,,,
4659,4818,1000000,,,
4503,5014,1000000,,,
4844,5034,1000000,,,
4556,4723,1000000,,,
4570,4733,1000207,,,
4598,4753,999793,,,
4477,4770,1000000,,,
4163,4318,1000000,,,
4613,4776,1000000,,,
4577,4834,1000000,,,
4777,4999,1000000,,,
4052,4203,1000000,,,
4708,4887,1000000,,,
4624,4795,1000000,,,
4693,4871,1000000,,,
4654,4813,1000000,,,
4544,4814,1000000,,,
4466,4621,1000000,,,
4449,4607,1000000,,,
4537,4696,1000000,,,
4484,4652,1000000,,,
4574,4733,1000000,,,
4448,4603,1000000,,,
4440,4595,1000000,,,
3984,4131,1000000,,,
4520,4683,1000000,,,
4556,4856,1000000,,,
4557,4729,1000000,,,
4528,4794,1000000,,,
4760,4927,1000000,,,
4799,4973,1000000,,,
4868,5055,1000000,,,
4596,4751,1000000,,,
4803,5026,1000000,,,
4536,4824,1000000,,,
4525,4684,1000000,,,
4416,4571,1000000,,,
4453,5081,1000000,,,
4473,4628,1000000,,,
4443,4598,1000000,,,
4687,4886,1000000,,,
4048,4199,1000000,,,
4599,4758,1000000,,,
4437,4592,1000000,,,
4590,4893,1000000,,,
4527,4682,1000000,,,
4603,4758,1000000,,,
4677,4844,1000000,,,
4461,4608,1000000,,,
4618,4777,1000000,,,
4461,4616,1000000,,,
4005,4152,1000000,,,
4565,4724,1000000,,,
4544,4699,1000000,,,
4981,5136,1000000,,,
4455,4617,1000000,,,
4529,4688,1000000,,,
4668,4891,1000000,,,
5195,5456,1000000,,,
4544,4739,1000000,,,
4473,4640,1000000,,,
4580,4739,1000000,,,
4458,4613,1000000,,,
4582,4929,1000000,,,
4695,5004,1000000,,,
4140,4287,1000000,,,
4562,4721,1000000,,,
4560,4723,1000000,,,
4672,4835,1000000,,,
4918,5144,1000000,,,
4574,4729,1000000,,,
4841,4996,1000000,,,
4529,4684,1000000,,,
4515,4674,1000000,,,
4471,4757,1000000,,,
5287,5446,1000000,,,
4453,4612,1000000,,,
4639,4919,1000000,,,
4551,4710,1000000,,,
4036,4183,1000000,,,
4542,4796,1000000,,,
4556,4809,1000659,,,
4559,4718,999341,,,
4690,4888,1000000,,,
4752,4950,1000000,,,
4522,5046,1000000,,,
4691,5222,1000000,,,
4752,4950,1000000,,,
4680,4839,1000000,,,
4850,5077,1000000,,,
4502,4745,1000000,,,
4609,4768,1000000,,,
4866,5017,1000000,,,
4433,4624,1000000,,,
4569,4736,1000000,,,
4092,4255,1000000,,,
4981,5136,1000000,,,
4512,4794,1000000,,,
4511,4670,1000000,,,
4537,4692,1000000,,,
4512,4684,1000000,,,
4527,4686,1000000,,,
4594,4749,1000000,,,
4610,4769,1000000,,,
4465,4620,1000000,,,
4741,4896,1000000,,,
4469,4624,1000000,,,
4440,4751,1000000,,,
4498,5025,1000000,,,
4080,4227,1000000,,,
4616,4783,1000000,,,
4611,4770,1000000,,,
4732,4907,1000000,,,
4534,4689,1000000,,,
4445,4604,1000000,,,
4544,4708,1000000,,,
4513,4668,1000000,,,
4466,4621,1000000,,,
4690,4857,1000000,,,
4460,4623,1000000,,,
4180,4327,1000000,,,
4550,4713,1000000,,,
4144,4291,1000000,,,
4428,4612,1000000,,,
4510,4665,1000000,,,
4458,4613,1000000,,,
4433,4580,1000000,,,
4751,4931,1000000,,,
4176,4720,1000000,,,
4567,4722,1000000,,,
4530,4681,1000000,,,
4942,5145,1000000,,,
4573,4744,1000000,,,
4608,4775,1000000,,,
4537,4692,1000000,,,
5217,5532,1000000,,,
4865,5067,1000000,,,
4509,4664,1000000,,,
4456,4612,1000000,,,
4024,4172,1000000,,,
4803,5006,1000000,,,
4441,4770,1000000,,,
4598,4765,1000000,,,
4542,4697,1000000,,,
4548,4730,1000000,,,
4649,4812,1000000,,,
4580,4735,1000000,,,
4437,4628,1000000,,,
4471,4630,1000000,,,
4475,4781,1000000,,,
4136,4291,1000000,,,
4543,4698,1000000,,,
4978,5133,1000000,,,
4462,4617,1000000,,,
4460,4615,1000000,,,
4462,4617,1000000,,,
4024,4171,1000000,,,
4523,4682,1000000,,,
4441,4730,1000000,,,
4601,4768,1000000,,,
4112,4259,1000000,,,
4561,4728,1000000,,,
4886,5132,1000000,,,
4530,4685,1000000,,,
4480,4635,1000000,,,
4008,4155,1000000,,,
4048,4203,1000000,,,
4609,4764,1000000,,,
4486,4641,1000000,,,
4791,4950,1000000,,,
4436,4994,1000000,,,
4494,4653,1000000,,,
4456,4611,1000000,,,
5045,5196,1000000,,,
4489,4648,1000000,,,
4599,4754,1000000,,,
4136,4291,1000000,,,
5324,5479,1000000,,,
4563,4726,1000000,,,
4798,4965,1000524,,,
4080,4227,999476,,,
4511,4670,1000000,,,
4514,4661,1000000,,,
4606,4765,1000000,,,
4453,4608,1000000,,,
4452,4607,1000000,,,
4475,4630,1000000,,,
4068,4215,1000000,,,
4658,4829,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000408,,,
,,999592,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000281,,,
,,999719,,,
,,1000000,,,
,,1000000,,,
,,1000793,,,
,,999207,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000079,,,
,,999921,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000340,,,
,,999660,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000000,,,
,,1000143,,,
,,999857,,,
,,1000000,,,
,,1000000,,,
,,1000660,,,
,,999340,,,
,,1000000,,,
