Exec_us,E2E_us,Jitter_us
1127.0,1127.0,1212.0
1136.0,1136.0,1223.0
1127.0,1127.0,1231.0
1132.0,1132.0,1213.0
1127.0,1127.0,1214.0
1141.0,1141.0,1211.0
1146.0,1146.0,1246.0
1134.0,1134.0,1249.0
1129.0,1129.0,1221.0
1130.0,1130.0,1213.0
1131.0,1131.0,1216.0
1135.0,1135.0,1238.0
1135.0,1135.0,1245.0
1128.0,1128.0,1216.0
1134.0,1134.0,1230.0
1125.0,1125.0,1219.0
1130.0,1130.0,1210.0
1128.0,1128.0,1213.0
1129.0,1129.0,1225.0
1128.0,1128.0,1224.0
1128.0,1128.0,1214.0
1125.0,1125.0,1209.0
1128.0,1128.0,1212.0
1143.0,1143.0,1213.0
1130.0,1130.0,1236.0
1129.0,1129.0,1214.0
1131.0,1131.0,1226.0
1127.0,1127.0,1214.0
1124.0,1124.0,1214.0
1130.0,1130.0,1210.0
1134.0,1134.0,1250.0
1130.0,1130.0,1233.0
1134.0,1134.0,1237.0
1129.0,1129.0,1218.0
1131.0,1131.0,1221.0
1127.0,1127.0,1215.0
1141.0,1141.0,1212.0
1135.0,1135.0,1222.0
1127.0,1127.0,1218.0
1137.0,1137.0,1230.0
1131.0,1131.0,1215.0
1131.0,1131.0,1199.0
1128.0,1128.0,1210.0
1143.0,1143.0,1236.0
1137.0,1137.0,1225.0
1129.0,1129.0,1224.0
1129.0,1129.0,1223.0
1130.0,1130.0,1216.0
1129.0,1129.0,1216.0
1124.0,1124.0,1212.0
1127.0,1127.0,1207.0
1127.0,1127.0,1208.0
1128.0,1128.0,1214.0
1125.0,1125.0,1208.0
1126.0,1126.0,1209.0
1145.0,1145.0,1229.0
1127.0,1127.0,1238.0
1126.0,1126.0,1218.0
1128.0,1128.0,1209.0
1138.0,1138.0,1211.0
1138.0,1138.0,1228.0
1140.0,1140.0,1204.0
1128.0,1128.0,3099.0
1130.0,1130.0,1222.0
1126.0,1126.0,1213.0
1126.0,1126.0,1210.0
1135.0,1135.0,1278.0
